[2025-03-24 17:19:56,268: INFO: data_ingestion: File already exits]
[2025-03-24 17:19:56,458: INFO: stage_1_data_ingestion_pipeline: Data ingestion is completed]
[2025-03-24 17:19:56,458: INFO: main: Data Ingestion Stage is completed]
[2025-03-24 17:19:56,458: INFO: main: Initiating Data Transformation Stage]
[2025-03-24 17:19:56,458: INFO: stage_2_data_transformation_pipeline: Initiating data transformation]
[2025-03-24 17:19:56,458: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-24 17:19:56,458: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-24 17:19:56,458: INFO: common: created directory at: artifacts]
[2025-03-24 17:19:56,458: INFO: common: created directory at: artifacts/data_transformation]
[2025-03-24 17:20:03,805: INFO: main: Data Transformation Stage is completed]
[2025-03-24 19:53:54,860: INFO: config: PyTorch version 2.6.0 available.]
[2025-03-24 20:02:15,754: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-24 20:02:15,793: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-24 20:02:15,797: INFO: common: created directory at: artifacts]
[2025-03-24 20:02:15,799: INFO: common: created directory at: artifacts/model_trainer]
[2025-03-24 20:06:30,164: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-24 20:06:30,171: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-24 20:06:30,173: INFO: common: created directory at: artifacts]
[2025-03-24 20:06:30,175: INFO: common: created directory at: artifacts/model_trainer]
[2025-03-24 20:27:12,002: INFO: config: PyTorch version 2.6.0 available.]
[2025-03-24 20:27:58,206: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-24 20:27:58,212: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-24 20:27:58,216: INFO: common: created directory at: artifacts]
[2025-03-24 20:27:58,218: INFO: common: created directory at: artifacts/model_trainer]
[2025-03-24 23:03:23,684: INFO: config: PyTorch version 2.6.0 available.]
[2025-03-24 23:03:41,707: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-24 23:03:41,773: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-24 23:03:41,823: INFO: common: created directory at: artifacts]
[2025-03-24 23:03:41,827: INFO: common: created directory at: artifacts/model_evaluation]
[2025-03-24 23:10:40,717: INFO: rouge_scorer: Using default tokenizer.]
